ID;Street;HouseNumber;Box;Floor;City;PostalCode;Region;District;Province;PropertyType;PropertySubType;Price;SaleType;ConstructionYear;BedroomCount;LivingArea;KitchenType;Furnished;Fireplace;Terrace;TerraceArea;Garden;GardenArea;Facades;SwimmingPool;Condition;EPCScore;Latitude;Longitude;PropertyUrl;Property url
11050526;Avenue des Communautes;4,B15;;1;Evere;1140;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;325000;residential_sale;2022;2;101;USA_HYPER_EQUIPPED;FALSE;FALSE;TRUE;18;;;2;FALSE;AS_NEW;A;508.582.632;44.251.766;;https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/11050526
11012764;Avenue des Communautes;4;;14;Evere;1140;BRUSSELS;Brussels;Brussels;APARTMENT;APARTMENT;525000;residential_sale;2022;3;140;USA_HYPER_EQUIPPED;FALSE;FALSE;TRUE;13;;;2;FALSE;AS_NEW;A;50.859.963;44.210.558;;https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/11012764
11154663;rue Groeselenberg;53;0;2;Uccle;1180;BRUSSELS;Brussels;Brussels;APARTMENT;PENTHOUSE;1295000;residential_sale;2022;3;179;USA_HYPER_EQUIPPED;FALSE;FALSE;TRUE;36;;;4;FALSE;AS_NEW;C;508.026.478;43.523.223;;https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/11154663
11156811;Rue Jean Volders;260;;;Oupeye;4683;WALLONIE;Liège;Liège;HOUSE;HOUSE;210000;residential_sale;1970;3;78;NOT_INSTALLED;FALSE;FALSE;TRUE;12;TRUE;399;3;FALSE;TO_RENOVATE;G;507.028.377;56.386.937;;https://www.immoweb.be/en/classified/house/for-sale/oupeye/4683/11156811
11155394;Tolpoortstraat;155;;;Deinze;9800;FLANDERS;Gent;East Flanders;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;509.777.315;35.320.013;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/deinze/9800/11155394
11156812;Avenue de l'Agriculture;117;;;Liège;4030;WALLONIE;Liège;Liège;HOUSE;HOUSE;234000;residential_sale;1961;2;130;SEMI_EQUIPPED;FALSE;FALSE;TRUE;38;TRUE;236;3;FALSE;GOOD;D;506.296.431;56.101.569;;https://www.immoweb.be/en/classified/house/for-sale/liege/4030/11156812
11156598;Raymonde de Larochelaan;1;;;Gent;9000;FLANDERS;Gent;East Flanders;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;510.274.241;3.696.983;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/11156598
11156577;Raymonde de Larochelaan;1;;;Gent;9051;FLANDERS;Gent;East Flanders;APARTMENT_GROUP;APARTMENT_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;510.274.241;3.696.983;;https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9051/11156577
11156837;Rue Emile Vandervelde;361;;;Beyne-Heusay Bellaire;4610;WALLONIE;Liège;Liège;HOUSE;HOUSE;289900;residential_sale;1933;3;140;INSTALLED;FALSE;FALSE;TRUE;22;TRUE;185;4;FALSE;GOOD;G;506.426.168;56.669.736;;https://www.immoweb.be/en/classified/house/for-sale/beyne-heusay-bellaire/4610/11156837
9466117;Sint-Jansstraat;;;;Beveren-Leie;8791;FLANDERS;Kortrijk;West Flanders;HOUSE_GROUP;HOUSE_GROUP;;group_sale;;;;;;FALSE;;;;;;;;;508.707.006;33.353.213;;https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/beveren-leie/8791/9466117
