ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude,PropertyUrl,Property url
10917926,Joannes van Meirhaeghestraat,"4,24",,2,Rumst,2840,FLANDERS,Antwerp,Antwerp,APARTMENT,DUPLEX,428000,residential_sale,,3,210,,0,0,1,20,,,2,0,AS_NEW,B,51.1045248,4.4123075,,https://www.immoweb.be/en/classified/duplex/for-sale/rumst/2840/10917926
11168489,Oudstrijderslaan,59, 3v,3,HOBOKEN,2660,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,237000,residential_sale,1977,2,90,INSTALLED,,0,1,4,,,2,,GOOD,F,51.1706677,4.3610905,,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/11168489
11166223,Weerstandlaan,61, 2J,2,HOBOKEN,2660,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,185000,residential_sale,1969,3,90,INSTALLED,,0,1,5,,,,,GOOD,C,51.186165,4.3699661,,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/11166223
11160144,Leopoldstraat,72,201,2,Mechelen,2800,FLANDERS,Mechelen,Antwerp,APARTMENT,APARTMENT,393900,residential_sale,2023,1,92,INSTALLED,0,0,1,9,,,3,,AS_NEW,A,51.0187425,4.4804786,,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/11160144
11160096,Leopoldstraat,72,101,1,Mechelen,2800,FLANDERS,Mechelen,Antwerp,APARTMENT,APARTMENT,418000,residential_sale,2023,1,92,INSTALLED,0,0,1,27,,,3,,AS_NEW,A,51.0187425,4.4804786,,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/11160096
11159972,Leopoldstraat,72,301,3,Mechelen,2800,FLANDERS,Mechelen,Antwerp,APARTMENT,DUPLEX,719600,residential_sale,2023,3,152,INSTALLED,0,0,1,47,,,3,,JUST_RENOVATED,A,51.0187425,4.4804786,,https://www.immoweb.be/en/classified/duplex/for-sale/mechelen/2800/11159972
11170097,Alfons Schneiderlaan,33, 2,1,Deurne,2100,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,209000,residential_sale,1957,2,77,INSTALLED,,1,,,,,2,,GOOD,B,51.2219687,4.4777451,,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/11170097
11159048,Terliststraat,24,,2,Antwerp,2018,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,279900,residential_sale,1874,2,73,INSTALLED,0,0,,,,,2,0,GOOD,B,51.2122711,4.4190349,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2018/11159048
11163481,Plantin en Moretuslei,192, 201,2,ANTWERPEN,2018,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,285000,residential_sale,1970,2,112,INSTALLED,,0,1,6,,,2,,GOOD,B,51.2088267,4.4341609,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/11163481
11162839,Bosmanslei,19, 201,2,ANTWERPEN,2018,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,294000,residential_sale,1965,1,85,INSTALLED,,0,1,5,,,2,,JUST_RENOVATED,C,51.1957881,4.4022071,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2018/11162839
11161101,Pertendonckstraat,40, 2.1,2,BROECHEM,2520,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,320000,residential_sale,2015,2,120,INSTALLED,,1,1,5,,,3,,GOOD,B,51.1816969,4.5965895,,https://www.immoweb.be/en/classified/apartment/for-sale/broechem/2520/11161101
11166133,Terliststraat,24,,3,Antwerp,2018,FLANDERS,Antwerp,Antwerp,APARTMENT,FLAT_STUDIO,147900,residential_sale,1874,0,34,INSTALLED,0,0,,,,,2,0,GOOD,F,51.2122711,4.4190349,,https://www.immoweb.be/en/classified/flat-studio/for-sale/antwerp/2018/11166133
11160184,Jan van Canlaan,26, 1v,1,HOBOKEN,2660,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,235000,residential_sale,1996,2,95,INSTALLED,,0,1,8,,,3,,AS_NEW,B,51.1745748,4.3406585,,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/11160184
11157252,Putsesteenweg,252, 12,1,BONHEIDEN,2820,FLANDERS,Mechelen,Antwerp,APARTMENT,APARTMENT,325000,residential_sale,2020,2,76,INSTALLED,,0,1,,,,3,,GOOD,A,51.0366155,4.5537964,,https://www.immoweb.be/en/classified/apartment/for-sale/bonheiden/2820/11157252
11153826,Paul Vekemanslaan,61, 3v,3,HOBOKEN,2660,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,210000,residential_sale,1980,3,93,INSTALLED,,0,1,7,,,,,JUST_RENOVATED,C,51.1763192,4.3620869,,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/11153826
11152796,Miksebaan,252a,,2,Brasschaat,2930,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,529000,residential_sale,2000,2,155,HYPER_EQUIPPED,,0,1,15,,,,0,AS_NEW,A,51.296794,4.517428,,https://www.immoweb.be/en/classified/apartment/for-sale/brasschaat/2930/11152796
11161571,Zonstraat,"1, V1",,1,Lier,2500,FLANDERS,Mechelen,Antwerp,APARTMENT,APARTMENT,299000,residential_sale,1938,2,76,INSTALLED,,1,1,17,1,,2,,JUST_RENOVATED,B,51.1402133,4.562034,,https://www.immoweb.be/en/classified/apartment/for-sale/lier/2500/11161571
11161295,Mechelsesteenweg,19,,3,Antwerp,2018,FLANDERS,Antwerp,Antwerp,APARTMENT,TRIPLEX,649000,residential_sale,1929,3,222,USA_HYPER_EQUIPPED,,1,1,7,,,2,,GOOD,B,51.2102295,4.4082754,,https://www.immoweb.be/en/classified/triplex/for-sale/antwerp/2018/11161295
11156375,Harmoniestraat,34, 4,4,ANTWERPEN 2018,2018,FLANDERS,Antwerp,Antwerp,APARTMENT,PENTHOUSE,285000,residential_sale,1974,2,96,INSTALLED,,1,,,,,,,GOOD,F,51.2029692,4.4097576,,https://www.immoweb.be/en/classified/penthouse/for-sale/antwerpen-2018/2018/11156375
11081531,Luitenant Lippenslaan,37,203,2,Antwerpen,2140,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,234900,residential_sale,1972,2,96,INSTALLED,,0,1,4,,,2,0,GOOD,C,51.2091611,4.449845,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2140/11081531
