PropertyUrl,ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude
,11156811,Rue Jean Volders,260,,,Oupeye,4683,WALLONIE,Liège,Liège,HOUSE,HOUSE,210000,residential_sale,1970,3,78,NOT_INSTALLED,False,False,True,12,True,399,3,False,TO_RENOVATE,G,50.7028377,5.6386937
,11146581,Rue des Ecoles,47,,,Berloz,4257,WALLONIE,Waremme,Liège,HOUSE,HOUSE,174000,residential_sale,1930,2,140,NOT_INSTALLED,False,False,True,5,True,787,4,False,TO_RENOVATE,F,50.7022562,5.2172585
,11156621,Achterstraat,228,,,Deinze,9800,FLANDERS,Gent,East Flanders,HOUSE,VILLA,695000,residential_sale,1980,3,385,USA_HYPER_EQUIPPED,False,False,True,124,True,1811,4,True,GOOD,E,50.9856681,3.5649778
,11146621,Rue de la Boverie,535,,,Seraing,4100,WALLONIE,Liège,Liège,HOUSE,HOUSE,189000,residential_sale,1918,2,110,INSTALLED,False,False,True,46,True,260,2,False,GOOD,D,50.5951096,5.5045422
,11150049,Rue Horace - Horatiusstraat,10,,,Anderlecht,1070,BRUSSELS,Brussels,Brussels,HOUSE,HOUSE,415000,residential_sale,1926,3,107,USA_HYPER_EQUIPPED,,True,True,70,True,250,3,False,JUST_RENOVATED,D,50.8443371,4.2896647
,11147395,Leopoldstraat,63, 5V,,ANTWERPEN,2000,FLANDERS,Antwerp,Antwerp,HOUSE,MIXED_USE_BUILDING,167000,residential_sale,1967,1,38,SEMI_EQUIPPED,,False,True,3,,100,2,,JUST_RENOVATED,C,51.2133243,4.4074277
,11156650,Rue de Waremme,21,,,Berloz,4257,WALLONIE,Waremme,Liège,HOUSE,BUNGALOW,380000,residential_sale,1969,4,160,,False,False,True,,True,2430,4,False,GOOD,F,50.6946022,5.2176614
,11151131,ANJELIERENLAAN,10,,,Steenokkerzeel,1820,FLANDERS,Halle-Vilvoorde,Flemish Brabant,HOUSE,HOUSE,475000,residential_sale,1989,3,161,INSTALLED,,True,True,,True,721,4,,GOOD,C,50.9227337,4.5015582
,11155545,Maalse Steenweg,482,,,Sint-Kruis,8310,FLANDERS,Brugge,West Flanders,HOUSE,VILLA,995000,residential_sale,1978,5,367,HYPER_EQUIPPED,,False,,,True,1455,4,,GOOD,B,51.2074689,3.2836426
,11154117,Avenue du Directoire,73,,,Uccle,1180,BRUSSELS,Brussels,Brussels,HOUSE,HOUSE,670000,residential_sale,1979,4,275,INSTALLED,,False,True,18,True,284,2,False,TO_BE_DONE_UP,D,50.7865832,4.3617109
,11155234,Rue du roi,1,,,Rixensart,1330,WALLONIE,Nivelles,Walloon Brabant,HOUSE,HOUSE,360000,residential_sale,1860,3,225,SEMI_EQUIPPED,False,False,True,12,True,479,3,False,TO_BE_DONE_UP,D,50.7051261,4.5073804
,11156812,Avenue de l'Agriculture,117,,,Liège,4030,WALLONIE,Liège,Liège,HOUSE,HOUSE,234000,residential_sale,1961,2,130,SEMI_EQUIPPED,False,False,True,38,True,236,3,False,GOOD,D,50.6296431,5.6101569
,11156524,Nijverheidsstraat,95,,,Erpe-Mere,9420,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,395000,residential_sale,2007,4,217,HYPER_EQUIPPED,,False,True,,,238,2,False,AS_NEW,B,50.919114,3.9646584
,11156837,Rue Emile Vandervelde,361,,,Beyne-Heusay Bellaire,4610,WALLONIE,Liège,Liège,HOUSE,HOUSE,289900,residential_sale,1933,3,140,INSTALLED,False,False,True,22,True,185,4,False,GOOD,G,50.6426168,5.6669736
,11150716,Vergoeienveld,3,,,Overijse,3090,FLANDERS,Halle-Vilvoorde,Flemish Brabant,HOUSE,VILLA,849000,residential_sale,1990,4,334,USA_INSTALLED,,True,True,35,True,875,4,False,AS_NEW,C,50.7637055,4.5363566
,11156775,Place de l'Eglise,3,,,Sainte-Ode,6680,WALLONIE,Bastogne,Luxembourg,HOUSE,MIXED_USE_BUILDING,579000,residential_sale,1900,9,884,HYPER_EQUIPPED,False,False,True,,True,5200,3,False,GOOD,G,50.0531252,5.5107372
,11141759,Rue michel botte,76,,,Braine-l'Alleud,1420,WALLONIE,Nivelles,Walloon Brabant,HOUSE,HOUSE,349000,residential_sale,1900,3,135,USA_INSTALLED,False,False,True,,True,216,2,False,JUST_RENOVATED,C,50.6684911,4.3514306
,11151111,Franz Merjaystraat,206,,,Uccle,1180,BRUSSELS,Brussels,Brussels,HOUSE,MANSION,1000000,residential_sale,1927,6,325,INSTALLED,False,False,True,50,True,155,2,False,TO_BE_DONE_UP,E,50.8141822,4.3517147
