,PropertyUrl,ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude
0,,11050526,Avenue des Communautes,"4,B15",,1.0,Evere,1140,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,325000,residential_sale,2022.0,2,101,USA_HYPER_EQUIPPED,False,False,True,18.0,,,2.0,False,AS_NEW,A,50.8582632,4.4251766
1,,11153142,Boulevard Géneral Jacques,42,,3.0,Ixelles,1050,BRUSSELS,Brussels,Brussels,APARTMENT,FLAT_STUDIO,247500,residential_sale,1969.0,0,44,INSTALLED,False,False,True,4.0,,,2.0,False,AS_NEW,F,50.8176653,4.3785382
2,,11154851,Avenue des Gerfauts,10,,12.0,Watermael-Boitsfort,1170,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,249000,residential_sale,1966.0,1,70,HYPER_EQUIPPED,,False,True,9.0,,,2.0,False,GOOD,F,50.8121476,4.4174092
3,,11153848,Rue Roberts Jones - Roberts Jonesstraat,38,,2.0,Uccle,1180,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,340000,residential_sale,1974.0,1,48,USA_HYPER_EQUIPPED,True,False,,,,,1.0,False,AS_NEW,C,50.8074827,4.3552938
4,,11140880,Egmont Park,11,,2.0,Gavere,9890,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,275450,residential_sale,2021.0,1,76,HYPER_EQUIPPED,False,False,True,11.0,,,4.0,False,AS_NEW,A,50.9284071,3.679605
5,,11140881,Egmont Park,11,,1.0,Gavere,9890,FLANDERS,Gent,East Flanders,APARTMENT,APARTMENT,269700,residential_sale,2021.0,1,76,HYPER_EQUIPPED,False,False,True,11.0,,,4.0,,AS_NEW,A,50.9284071,3.679605
6,,11153826,Paul Vekemanslaan,61, 3v,3.0,HOBOKEN,2660,FLANDERS,Antwerp,Antwerp,APARTMENT,APARTMENT,210000,residential_sale,1980.0,3,93,INSTALLED,,False,True,7.0,,,,,JUST_RENOVATED,C,51.1763192,4.3620869
7,,11156677,Bayauxlaan,34,A1,1.0,Knokke-Heist,8300,FLANDERS,Brugge,West Flanders,APARTMENT,APARTMENT,445000,residential_sale,1936.0,2,75,HYPER_EQUIPPED,True,False,,,,,2.0,False,JUST_RENOVATED,C,51.3491379,3.2854853
8,,11154878,Boulevard Leopold II,61,20,2.0,Molenbeek-Saint-Jean,1080,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,215000,residential_sale,2012.0,2,70,USA_INSTALLED,,False,,,,,2.0,False,GOOD,C,50.8601331,4.3424018
9,,11156429,Square Vergote,9,,4.0,Woluwe-Saint-Lambert,1200,BRUSSELS,Brussels,Brussels,APARTMENT,APARTMENT,785000,residential_sale,1990.0,3,230,USA_HYPER_EQUIPPED,False,False,True,20.0,,,2.0,False,GOOD,G,50.8447709,4.4039522
